name,type,comment
taximpsntypename,string,
taxrulesrcid,int,
taxruleid,int,
taxresulttype,string,
limitedbymaxtaxind,boolean,
maxtaxrulesrcid,int,
maxtaxruleid,int,
adjtaxamountind,boolean,
directinputind,boolean,
overriderate,"decimal(10,6)",
situstaxareaid,int,
situslocroletype,string,
noregind,boolean,
jurovrdtypeid,int,
basisrulesrcid,int,
basisruleid,int,
inputoutputtype,string,
inptaxrecamt,"decimal(20,6)",
inptaxrecamtreportedind,boolean,
inptaxnonrecamt,"decimal(20,6)",
inptaxrecpct,"decimal(10,6)",
inptaxrecovrdpcttaxdtl,"decimal(10,6)",
byrinputtaxamt,"decimal(20,6)",
byrinptaxrcdpct,"decimal(10,6)",
cvtrateused,"decimal(10,6)",
filingcurcyunitid,int,
filingcurcyunit,string,
filingunrecamt,"decimal(20,6)",
filingrecamt,"decimal(20,6)",
lineitemtaxassistedstate,string,
serviceind,boolean,
taxcode,string,
outputnotice1id,int,
outputnotice2id,int,
outputnotice3id,int,
outputnotice4id,int,
outputnotice5id,int,
outputnoticename1,string,
outputnoticename2,string,
outputnoticename3,string,
outputnoticename4,string,
outputnoticename5,string,
negtaxind,boolean,
vertextaxcode,string,
apportionmenttype,string,
certificateidcode,string,
certclasstype,string,
taxresponsibilityroletype,string,
buyrregidcode,string,
selrregidcode,string,
ownrregidcode,string,
recpregidcode,string,
dispregidcode,string,
buyerregcountryiso2code,string,
sellerregcountryiso2code,string,
ownerregcountryiso2code,string,
recpregcountryiso2code,string,
dispregcountryiso2code,string,
buyerphysicalpresind,boolean,
sellerphysicalpresind,boolean,
ownerphysicalpresind,boolean,
recpphysicalpresind,boolean,
dispphysicalpresind,boolean,
inptaxblockingrecpct,"decimal(10,6)",
inptaxpartialexemptrecpct,"decimal(10,6)",
recoverabilityrulesrcid,int,
recoverabilityruleid,int,
invoicetextrulesrcid,int,
invoicetextruleid,int,
summaryinvoicetext,string,
taxinclusionruleid,int,
taxinclusionrulesrcid,int,
taxrulecvtrateused,"decimal(10,6)",
maxrulecvtrateused,"decimal(10,6)",
taxcreditrulesrcid,int,
taxcreditruleid,int,
basisapportionmentrulesrcid,int,
basisapportionmentruleid,int,
taxrateadjustmentruleid,int,
taxrateadjustmentrulesourceid,int,
taxapportionmentruleid,int,
taxapportionmentrulesourceid,int,
detailtype,string,
taxstrucsourceid,int,
taxstrucid,int,
taxstrucelementnumber,bigint,
dedreasoncatid,int,
dedreasoncatname,string,
filingcategorycode,string,
filingcategoryname,string,
taxamount,"decimal(20,6)",
taxableamount,"decimal(20,6)",
nontaxableamount,"decimal(20,6)",
exemptamount,"decimal(20,6)",
taxrate,"decimal(10,6)",
basisamount,"decimal(20,6)",
filingtaxableamount,"decimal(20,6)",
filingexemptamount,"decimal(20,6)",
filingnontaxableamount,"decimal(20,6)",
filingtaxamt,"decimal(20,6)",
filingbasisamount,"decimal(20,6)",
rateclassification,string,
taxamountbeforecredit,"decimal(20,6)",
returnscodefield1name,string,
returnscodefield1value,string,
returnscodefield2name,string,
returnscodefield2value,string,
returnscodefield3name,string,
returnscodefield3value,string,
returnscodefield4name,string,
returnscodefield4value,string,
returnscodefield5name,string,
returnscodefield5value,string,
returnsnumericfield1name,string,
returnsnumericfield1value,"decimal(20,6)",
returnsnumericfield2name,string,
returnsnumericfield2value,"decimal(20,6)",
returnsnumericfield3name,string,
returnsnumericfield3value,"decimal(20,6)",
returnsnumericfield4name,string,
returnsnumericfield4value,"decimal(20,6)",
returnsnumericfield5name,string,
returnsnumericfield5value,"decimal(20,6)",
returnsdatefield1name,string,
returnsdatefield1value,date,
returnsdatefield2name,string,
returnsdatefield2value,date,
returnsdatefield3name,string,
returnsdatefield3value,date,
returnsdatefield4name,string,
returnsdatefield4value,date,
returnsdatefield5name,string,
returnsdatefield5value,date,
returnsindicatorfield1name,string,
returnsindicatorfield1value,boolean,
returnsindicatorfield2name,string,
returnsindicatorfield2value,boolean,
