name, type, nullable, uuid, notes, oversion, wtjversion
"ao_taxAreaCountry","Name",0,,,,
"ao_taxAreaCountryIso2Code","Code",0,,,,
"ao_taxAreaCountryIso3Code","Code",0,,,,
"ao_taxAreaMainDivision","Name",0,,,,
"ao_taxAreaSubDivision","Name",0,,,,
"ao_taxAreaCity","Name",1,,,,
"ao_taxAreaDistrict1","Name",1,,,,
"ao_taxAreaDistrict2","Name",1,,,,
"ao_taxAreaDistrict3","Name",1,,,,
"ao_taxAreaDistrict4","Name",1,,,,
"ao_streetInfoDesc","Desc",0,,,,
"ao_streetInfo2Desc","Desc",1,,,,
"ao_cityName","Name",0,,,,
"ao_subDivisionName","Name",0,,,,
"ao_mainDivisionName","Name",0,,,,
"ao_countryName","Name",0,,,,
"ao_postalCode","Code",0,,,,
"ao_locationCode","Code",1,,,,
"ao_externalJurisdictionCode","Code",1,,,,
"ad_taxAreaId","Id",1,,,,
"ad_taxAreaCountry","Name",1,,,,
"ad_taxAreaCountryIso2Code","Code",0,,,,
"ad_taxAreaCountryIso3Code","Code",0,,,,
"ad_taxAreaMainDivision","Name",1,,,,
"ad_taxAreaSubDivision","Name",1,,,,
"ad_taxAreaCity","Name",1,,,,
"ad_taxAreaDistrict1","Name",1,,,,
"ad_taxAreaDistrict2","Name",1,,,,
"ad_taxAreaDistrict3","Name",1,,,,
"ad_taxAreaDistrict4","Name",1,,,,
"ad_streetInfoDesc","Desc",1,,,,
"ad_streetInfo2Desc","Desc",1,,,,
"ad_cityName","Name",1,,,,
"ad_subDivisionName","Name",1,,,,
"ad_mainDivisionName","Name",1,,,,
"ad_countryName","Name",1,,,,
"ad_postalCode","Code",1,,,,
"ad_locationCode","Code",1,,,,
"ad_externalJurisdictionCode","Code",1,,,,
"taxType","Type",0,,,,
"jurisdictionId","Id",0,,,,
"jurisdictionName","Name",0,,,,
"jurisdictionType","Type",0,,,,
"taxImpsnSourceId","Id",1,,"Added late in 8.0 development for HVR",,"8.1"
"taxImpsnName","Name",0,,,,
"taxImpsnTypeName","Name",0,,,,
"taxRuleSrcId","Id",1,,,,
"taxRuleId","Id",0,,,,
"taxResultType","Type",0,,,,
"limitedByMaxTaxInd","Boolean",1,,,,
"maxTaxRuleSrcId","Id",1,,,,
"maxTaxRuleId","Id",1,,,,
"adjTaxAmountInd","Boolean",1,,,,
"directInputInd","Boolean",1,,,,
"overrideRate","Percent",1,,,,
"situsTaxAreaId","Id",0,,,,
"situsLocRoleType","Type",0,,,,
"noRegInd","Boolean",1,,,,
"jurOvrdTypeId","Id",1,,,,
"basisRuleSrcId","Id",1,,,,
"basisRuleId","Id",1,,,,
"inputOutputType","Type",1,,,,
"inpTaxRecAmt","Amount",1,,,,
"inpTaxRecAmtReportedInd","Boolean",1,,,,
"inpTaxNonRecAmt","Amount",1,,,,
"inpTaxRecPct","Percent",1,,,,
"inpTaxRecOvrdPctTaxDtl","Percent",1,,,,
"byrInputTaxAmt","Amount",1,,,,
"byrInpTaxRcdPct","Percent",1,,,,
"cvtRateUsed","Percent",1,,,,
"filingCurcyUnitId","Id",1,,,,
"filingCurcyUnit","Code",1,,,,
"filingUnRecAmt","Amount",1,,,,
"filingRecAmt","Amount",1,,,,
"lineItemTaxAssistedState","Code",0,,,,
"serviceInd","Boolean",1,,,,
"taxCode","Code",1,,,,
"outputNotice1Id","Id",1,,,,
"outputNotice2Id","Id",1,,,,
"outputNotice3Id","Id",1,,,,
"outputNotice4Id","Id",1,,,,
"outputNotice5Id","Id",1,,,,
"outputNoticeName1","Name",1,,"Added late in 8.0 development for HVR",,"8.1"
"outputNoticeName2","Name",1,,"Added late in 8.0 development for HVR",,"8.1"
"outputNoticeName3","Name",1,,"Added late in 8.0 development for HVR",,"8.1"
"outputNoticeName4","Name",1,,"Added late in 8.0 development for HVR",,"8.1"
"outputNoticeName5","Name",1,,"Added late in 8.0 development for HVR",,"8.1"
"negTaxInd","Boolean",1,,,,
"vertexTaxCode","Code",1,,,,
"apportionmentType","Type",0,,,,
"certificateIdCode","Code",1,,,,
"certClassType","Type",1,,,,
"taxResponsibilityRoleType","Type",0,,,,
"buyrRegIdCode","Code",1,,,,
"selrRegIdCode","Code",1,,,,
"ownrRegIdCode","Code",1,,,,
"recpRegIdCode","Code",1,,,,
"dispRegIdCode","Code",1,,,,
"buyerRegCountryISO2Code","Code",1,,,,
"sellerRegCountryISO2Code","Code",1,,,,
"ownerRegCountryISO2Code","Code",1,,,,
"recpRegCountryISO2Code","Code",1,,,,
